iter	CrossEntropy	F1
0	0.219793211	0.09613375131
1	0.1995611442	0.1606425703
2	0.1906067976	0.2413793103
3	0.1834675554	0.2878365831
4	0.1770101149	0.3160762943
5	0.1677322154	0.3754385965
6	0.1616760206	0.4027898867
7	0.1551793169	0.4395229983
8	0.1511245403	0.4605042017
9	0.1424215496	0.5101543461
10	0.1376996886	0.5232744783
11	0.133949988	0.5368171021
12	0.1309319625	0.550747443
13	0.1247605654	0.5886850153
14	0.1212474167	0.6057401813
15	0.11625917	0.6336779911
16	0.1132863294	0.6407053637
17	0.1119024954	0.6436950147
18	0.109970643	0.6574545455
19	0.1085578348	0.6676321506
20	0.1068834945	0.6728971963
21	0.1049441316	0.681915654
22	0.1012643095	0.6995073892
23	0.09960050126	0.7054698457
24	0.09825552242	0.710986704
25	0.09573769958	0.7324137931
26	0.09408776636	0.7361206306
27	0.0915567892	0.7409432673
28	0.08936556675	0.7460857726
29	0.08831761495	0.7505070994
30	0.08769062731	0.7527027027
31	0.08671488098	0.7570850202
32	0.08454423657	0.7620967742
33	0.08242708637	0.7701532312
34	0.08030815621	0.7812293457
35	0.07879480212	0.7863247863
36	0.07786335502	0.7887139108
37	0.07712561064	0.7921311475
38	0.0755674711	0.8015564202
39	0.07393235928	0.8103225806
40	0.0724183453	0.81414791
41	0.07183854388	0.8189379399
42	0.0701319733	0.8225496477
43	0.06889607108	0.8251748252
44	0.06741953171	0.8256997455
45	0.06600638051	0.8292063492
46	0.06425703019	0.8342785129
47	0.06177461981	0.8401997503
48	0.06099018846	0.8393977415
49	0.05953940637	0.852886406
50	0.05865296179	0.853432282
51	0.05780493388	0.854848672
52	0.05680390349	0.8613496933
53	0.05572068249	0.8645003066
54	0.05505632009	0.8627692308
55	0.05436405144	0.8631319359
56	0.05399054702	0.8662969809
57	0.05353828602	0.8678549478
58	0.05235134998	0.8717004297
59	0.051034247	0.8768292683
60	0.05041838625	0.8780487805
61	0.04978901086	0.8805336568
62	0.04948961776	0.8812121212
63	0.04839871691	0.8839177751
64	0.04805370917	0.8833836858
65	0.04750596867	0.8870192308
66	0.0470475169	0.8863499699
67	0.04645772166	0.884057971
68	0.0458497839	0.8879568604
69	0.04494807076	0.8890221956
70	0.04429321593	0.8936678614
71	0.04373716174	0.8943283582
72	0.0431969014	0.8957712924
73	0.04295646396	0.8940754039
74	0.0425153342	0.8974970203
75	0.04213472732	0.900591716
76	0.04148922812	0.9023090586
77	0.04104746018	0.9046773239
78	0.04056527854	0.9052132701
79	0.04025283967	0.9065088757
80	0.03988083301	0.9072652097
81	0.03947420837	0.9078014184
82	0.0391846528	0.9075829384
83	0.03895239447	0.9110194461
84	0.0383716857	0.9120943953
85	0.03820403113	0.9101654846
86	0.03766156104	0.9134785168
87	0.03710616239	0.9125295508
88	0.03655487501	0.9157336476
89	0.036245245	0.9176470588
90	0.03592931133	0.9175500589
91	0.0351575307	0.9193925234
92	0.03484485305	0.9192037471
93	0.03411288485	0.9246935201
94	0.03371767581	0.9242424242
95	0.03333217405	0.9259475219
96	0.03311765885	0.9283236994
97	0.03289105731	0.9279907085
98	0.03253911859	0.9294797688
99	0.03239268023	0.9289428076
100	0.0318413299	0.9297235023
101	0.03161177841	0.9313329486
102	0.03117052492	0.9344073648
103	0.03103557163	0.9338700403
104	0.03081907678	0.9333333333
105	0.03070371603	0.932719954
106	0.03036433686	0.932719954
107	0.03011573332	0.933946008
108	0.02997896751	0.9332566168
109	0.02972017914	0.9334862385
110	0.02957139211	0.9333333333
111	0.02912442105	0.9340218015
112	0.02893240278	0.9344827586
113	0.0288372554	0.9338700403
114	0.02870766585	0.9344073648
115	0.02843075448	0.9337175793
116	0.02837196815	0.9337175793
117	0.02816988009	0.9344827586
118	0.02808158989	0.9344827586
119	0.02785019549	0.935706085
120	0.02766311551	0.9367816092
121	0.02748873183	0.937320299
122	0.02742118464	0.9365628604
123	0.0272266831	0.937320299
124	0.02698669716	0.9379310345
125	0.02685575094	0.9378596087
126	0.02676143059	0.938215103
127	0.02666889237	0.9383995394
128	0.02658794557	0.9390103567
129	0.02651991866	0.9392201835
130	0.02644660614	0.9394977169
131	0.02633687831	0.9395667047
132	0.02616649736	0.9396355353
133	0.02600924468	0.9401026811
134	0.02595538145	0.9409090909
135	0.02588422224	0.9407069555
136	0.02583101456	0.9405034325
137	0.02563532783	0.9412435824
138	0.02538207252	0.9412435824
139	0.02524153407	0.9419134396
140	0.02518039038	0.9417808219
141	0.02500866579	0.9417142857
142	0.02488687983	0.9425810119
143	0.02478573052	0.9425156517
144	0.02462736212	0.9425156517
145	0.02459776708	0.9423844837
146	0.02452216883	0.942318675
147	0.02447596159	0.9422527158
148	0.02433365837	0.9423844837
149	0.0242876161	0.9421866056
150	0.02419671674	0.9422527158
151	0.02409395028	0.9423844837
152	0.02403902992	0.942318675
153	0.02386050676	0.9425156517
154	0.02383218808	0.9423844837
155	0.02380911376	0.9425156517
156	0.02375955064	0.9425156517
157	0.02364896973	0.9429874572
158	0.02359221733	0.9429223744
159	0.02351171335	0.9428571429
160	0.02344082114	0.9429223744
161	0.02341480121	0.9430523918
162	0.02331129671	0.9429874572
163	0.02325602688	0.9429874572
164	0.02322542899	0.9429874572
165	0.0232025522	0.9430523918
166	0.02312193535	0.9437180216
167	0.02304791953	0.9436539556
168	0.02300143878	0.9435253851
169	0.02298867953	0.9436539556
170	0.02296663194	0.9438457175
171	0.0229151825	0.9436539556
172	0.02285489189	0.9437819421
173	0.02279620106	0.9438457175
174	0.0227762243	0.9439093484
175	0.02274238125	0.9438457175
176	0.02271434475	0.9439093484
177	0.02270492184	0.9437819421
178	0.02260494253	0.9439093484
179	0.02257420788	0.9439093484
180	0.02254141109	0.9436539556
181	0.02251335723	0.9437180216
182	0.02240806844	0.9437819421
183	0.02235579414	0.9438457175
184	0.02225480981	0.9435897436
185	0.02220498187	0.9435897436
186	0.02217697577	0.9435897436
187	0.02212719558	0.9435253851
188	0.02202071292	0.9434608795
189	0.02191978502	0.9437180216
190	0.02190579716	0.9436539556
191	0.02187973816	0.9435897436
192	0.02182922863	0.9439093484
193	0.02178768617	0.9436539556
194	0.02177191184	0.9435897436
195	0.02176430144	0.9436539556
196	0.02172735648	0.9437180216
197	0.02169595978	0.9437180216
198	0.02167561617	0.9435897436
199	0.02161874438	0.9437180216
200	0.02156102602	0.9435897436
201	0.02151137391	0.9437180216
202	0.02146149387	0.9434608795
203	0.02141408407	0.9434608795
204	0.02138547886	0.9435253851
205	0.02136001896	0.9434608795
206	0.0213357334	0.9435897436
207	0.02130606673	0.9434608795
208	0.02129368952	0.9432664756
209	0.02124122855	0.9433962264
210	0.02118415271	0.9435253851
211	0.02113557725	0.9433962264
212	0.0210500742	0.9433314253
213	0.02102303622	0.9433962264
214	0.02099199117	0.9432013769
215	0.02097927967	0.9433962264
216	0.02096117403	0.9433962264
217	0.020921303	0.9434608795
218	0.02091006322	0.9434608795
219	0.0208931558	0.9433962264
220	0.02087059594	0.9433314253
221	0.02083447366	0.9433314253
222	0.0207631191	0.9435253851
223	0.02073058279	0.9434608795
224	0.02072401866	0.9433314253
225	0.02070412004	0.9434608795
226	0.02069339906	0.9434608795
227	0.02068101533	0.9433314253
228	0.02066799126	0.9433962264
229	0.02063308673	0.9433962264
230	0.02058417048	0.9433314253
231	0.02056529643	0.9432664756
232	0.02052742676	0.9432664756
233	0.0205126835	0.9432013769
234	0.02049202732	0.9431361287
235	0.02045629577	0.9432013769
236	0.02043024545	0.9431361287
237	0.02040671312	0.9434608795
238	0.0203724229	0.9435253851
239	0.02035461682	0.9434608795
240	0.0203286403	0.9434608795
241	0.02030853547	0.9435897436
242	0.02029486236	0.9435253851
243	0.0202894335	0.9435897436
244	0.02028162122	0.9435253851
245	0.02026151422	0.9435253851
246	0.02024169809	0.9435897436
247	0.02022876084	0.9435253851
248	0.02019759857	0.9433962264
249	0.0201842858	0.9433962264
250	0.02017115536	0.9434608795
251	0.02016539221	0.9434608795
252	0.02014231355	0.9433962264
253	0.02012318118	0.9434608795
254	0.02007829153	0.9433962264
255	0.02005806298	0.9435897436
256	0.02005287505	0.9435253851
257	0.0200395384	0.9435897436
258	0.02003224275	0.9434608795
259	0.02002453032	0.9434608795
260	0.01999752056	0.9433962264
261	0.01998837332	0.9433962264
262	0.01998091487	0.9436539556
263	0.01997023296	0.9436539556
264	0.01995747153	0.9436539556
265	0.01995277852	0.9436539556
266	0.0199368045	0.9436539556
267	0.0199266913	0.9436539556
268	0.01988315833	0.9435897436
269	0.01986467066	0.9435897436
270	0.01985673683	0.9433962264
271	0.01982000893	0.9438457175
272	0.01979038785	0.9437180216
273	0.01977922187	0.9436539556
274	0.01974502282	0.9435897436
275	0.01971992977	0.9436539556
276	0.01971477441	0.9436539556
277	0.01969502991	0.9436539556
278	0.01967563706	0.9436539556
279	0.01967150626	0.9437819421
280	0.01965865801	0.9437819421
281	0.01965009468	0.9437819421
282	0.01964582496	0.9439093484
283	0.01964167462	0.9437819421
284	0.01963204114	0.9438457175
285	0.01961794693	0.9437819421
286	0.01961031482	0.9439093484
287	0.01960526148	0.9437180216
288	0.01958434915	0.9435897436
289	0.01957855561	0.9434608795
290	0.01957010299	0.9436539556
291	0.01952713439	0.9435253851
292	0.01951338314	0.9435897436
293	0.01950714895	0.9435253851
294	0.01949981205	0.9438457175
295	0.01949673837	0.9439093484
296	0.01949006788	0.9438457175
297	0.01948507314	0.9438457175
298	0.01947554169	0.9437819421
299	0.01947070976	0.9436539556
